id,domain,priority,ko,vi,plain_ko,risk_level,type,status
VIT0256,manufacturing_machine,high,롤러 청소,vệ sinh con lăn,롤러를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0257,manufacturing_machine,high,롤러 점검,kiểm tra con lăn,롤러를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0258,manufacturing_machine,high,롤러 교체,thay thế con lăn,롤러를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0259,manufacturing_machine,high,롤러 고정,cố định con lăn,롤러를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0260,manufacturing_machine,high,롤러 분리,tháo rời con lăn,롤러를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0261,manufacturing_machine,high,절단기 작동,vận hành máy cắt,절단기를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0262,manufacturing_machine,high,절단기 정지,dừng máy cắt,절단기를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0263,manufacturing_machine,high,절단기 전원 차단,ngắt nguồn điện máy cắt,절단기를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0264,manufacturing_machine,high,절단기 청소,vệ sinh máy cắt,절단기를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0265,manufacturing_machine,high,절단기 점검,kiểm tra máy cắt,절단기를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0266,manufacturing_machine,high,절단기 교체,thay thế máy cắt,절단기를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0267,manufacturing_machine,high,절단기 고정,cố định máy cắt,절단기를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0268,manufacturing_machine,high,절단기 분리,tháo rời máy cắt,절단기를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0269,manufacturing_machine,high,파쇄기 작동,vận hành máy nghiền,파쇄기를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0270,manufacturing_machine,high,파쇄기 정지,dừng máy nghiền,파쇄기를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0271,manufacturing_machine,high,파쇄기 전원 차단,ngắt nguồn điện máy nghiền,파쇄기를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0272,manufacturing_machine,high,파쇄기 청소,vệ sinh máy nghiền,파쇄기를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0273,manufacturing_machine,high,파쇄기 점검,kiểm tra máy nghiền,파쇄기를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0274,manufacturing_machine,high,파쇄기 교체,thay thế máy nghiền,파쇄기를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0275,manufacturing_machine,high,파쇄기 고정,cố định máy nghiền,파쇄기를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0276,manufacturing_machine,high,파쇄기 분리,tháo rời máy nghiền,파쇄기를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0277,manufacturing_machine,high,압축기 작동,vận hành máy ép nén,압축기를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0278,manufacturing_machine,high,압축기 정지,dừng máy ép nén,압축기를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0279,manufacturing_machine,high,압축기 전원 차단,ngắt nguồn điện máy ép nén,압축기를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0280,manufacturing_machine,high,압축기 청소,vệ sinh máy ép nén,압축기를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0281,manufacturing_machine,high,압축기 점검,kiểm tra máy ép nén,압축기를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0282,manufacturing_machine,high,압축기 교체,thay thế máy ép nén,압축기를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0283,manufacturing_machine,high,압축기 고정,cố định máy ép nén,압축기를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0284,manufacturing_machine,high,압축기 분리,tháo rời máy ép nén,압축기를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0285,manufacturing_machine,high,혼합기 작동,vận hành máy trộn,혼합기를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0286,manufacturing_machine,high,혼합기 정지,dừng máy trộn,혼합기를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0287,manufacturing_machine,high,혼합기 전원 차단,ngắt nguồn điện máy trộn,혼합기를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0288,manufacturing_machine,high,혼합기 청소,vệ sinh máy trộn,혼합기를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0289,manufacturing_machine,high,혼합기 점검,kiểm tra máy trộn,혼합기를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0290,manufacturing_machine,high,혼합기 교체,thay thế máy trộn,혼합기를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0291,manufacturing_machine,high,혼합기 고정,cố định máy trộn,혼합기를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0292,manufacturing_machine,high,혼합기 분리,tháo rời máy trộn,혼합기를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0293,manufacturing_machine,high,포장기 작동,vận hành máy đóng gói,포장기를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0294,manufacturing_machine,high,포장기 정지,dừng máy đóng gói,포장기를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0295,manufacturing_machine,high,포장기 전원 차단,ngắt nguồn điện máy đóng gói,포장기를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0296,manufacturing_machine,high,포장기 청소,vệ sinh máy đóng gói,포장기를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0297,manufacturing_machine,high,포장기 점검,kiểm tra máy đóng gói,포장기를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0298,manufacturing_machine,high,포장기 교체,thay thế máy đóng gói,포장기를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0299,manufacturing_machine,high,포장기 고정,cố định máy đóng gói,포장기를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0300,manufacturing_machine,high,포장기 분리,tháo rời máy đóng gói,포장기를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0301,manufacturing_machine,high,선반 작동,vận hành máy tiện,선반를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0302,manufacturing_machine,high,선반 정지,dừng máy tiện,선반를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0303,manufacturing_machine,high,선반 전원 차단,ngắt nguồn điện máy tiện,선반를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0304,manufacturing_machine,high,선반 청소,vệ sinh máy tiện,선반를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0305,manufacturing_machine,high,선반 점검,kiểm tra máy tiện,선반를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0306,manufacturing_machine,high,선반 교체,thay thế máy tiện,선반를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0307,manufacturing_machine,high,선반 고정,cố định máy tiện,선반를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0308,manufacturing_machine,high,선반 분리,tháo rời máy tiện,선반를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0309,manufacturing_machine,high,밀링기 작동,vận hành máy phay,밀링기를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0310,manufacturing_machine,high,밀링기 정지,dừng máy phay,밀링기를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0311,manufacturing_machine,high,밀링기 전원 차단,ngắt nguồn điện máy phay,밀링기를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0312,manufacturing_machine,high,밀링기 청소,vệ sinh máy phay,밀링기를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0313,manufacturing_machine,high,밀링기 점검,kiểm tra máy phay,밀링기를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0314,manufacturing_machine,high,밀링기 교체,thay thế máy phay,밀링기를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0315,manufacturing_machine,high,밀링기 고정,cố định máy phay,밀링기를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0316,manufacturing_machine,high,밀링기 분리,tháo rời máy phay,밀링기를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0317,manufacturing_machine,high,드릴 작동,vận hành máy khoan,드릴를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0318,manufacturing_machine,high,드릴 정지,dừng máy khoan,드릴를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0319,manufacturing_machine,high,드릴 전원 차단,ngắt nguồn điện máy khoan,드릴를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0320,manufacturing_machine,high,드릴 청소,vệ sinh máy khoan,드릴를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0321,manufacturing_machine,high,드릴 점검,kiểm tra máy khoan,드릴를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0322,manufacturing_machine,high,드릴 교체,thay thế máy khoan,드릴를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0323,manufacturing_machine,high,드릴 고정,cố định máy khoan,드릴를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0324,manufacturing_machine,high,드릴 분리,tháo rời máy khoan,드릴를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0325,manufacturing_machine,high,그라인더 작동,vận hành máy mài,그라인더를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0326,manufacturing_machine,high,그라인더 정지,dừng máy mài,그라인더를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0327,manufacturing_machine,high,그라인더 전원 차단,ngắt nguồn điện máy mài,그라인더를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0328,manufacturing_machine,high,그라인더 청소,vệ sinh máy mài,그라인더를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0329,manufacturing_machine,high,그라인더 점검,kiểm tra máy mài,그라인더를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0330,manufacturing_machine,high,그라인더 교체,thay thế máy mài,그라인더를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0331,manufacturing_machine,high,그라인더 고정,cố định máy mài,그라인더를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0332,manufacturing_machine,high,그라인더 분리,tháo rời máy mài,그라인더를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0333,manufacturing_machine,high,용접기 작동,vận hành máy hàn,용접기를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0334,manufacturing_machine,high,용접기 정지,dừng máy hàn,용접기를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0335,manufacturing_machine,high,용접기 전원 차단,ngắt nguồn điện máy hàn,용접기를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0336,manufacturing_machine,high,용접기 청소,vệ sinh máy hàn,용접기를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0337,manufacturing_machine,high,용접기 점검,kiểm tra máy hàn,용접기를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0338,manufacturing_machine,high,용접기 교체,thay thế máy hàn,용접기를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0339,manufacturing_machine,high,용접기 고정,cố định máy hàn,용접기를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0340,manufacturing_machine,high,용접기 분리,tháo rời máy hàn,용접기를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0341,manufacturing_machine,high,에어건 작동,vận hành súng hơi,에어건를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0342,manufacturing_machine,high,에어건 정지,dừng súng hơi,에어건를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0343,manufacturing_machine,high,에어건 전원 차단,ngắt nguồn điện súng hơi,에어건를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0344,manufacturing_machine,high,에어건 청소,vệ sinh súng hơi,에어건를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0345,manufacturing_machine,high,에어건 점검,kiểm tra súng hơi,에어건를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0346,manufacturing_machine,high,에어건 교체,thay thế súng hơi,에어건를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0347,manufacturing_machine,high,에어건 고정,cố định súng hơi,에어건를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0348,manufacturing_machine,high,에어건 분리,tháo rời súng hơi,에어건를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0349,manufacturing_machine,high,콤프레서 작동,vận hành máy nén khí,콤프레서를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0350,manufacturing_machine,high,콤프레서 정지,dừng máy nén khí,콤프레서를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0351,manufacturing_machine,high,콤프레서 전원 차단,ngắt nguồn điện máy nén khí,콤프레서를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0352,manufacturing_machine,high,콤프레서 청소,vệ sinh máy nén khí,콤프레서를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0353,manufacturing_machine,high,콤프레서 점검,kiểm tra máy nén khí,콤프레서를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0354,manufacturing_machine,high,콤프레서 교체,thay thế máy nén khí,콤프레서를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0355,manufacturing_machine,high,콤프레서 고정,cố định máy nén khí,콤프레서를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0356,manufacturing_machine,high,콤프레서 분리,tháo rời máy nén khí,콤프레서를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0357,manufacturing_machine,high,지그 작동,vận hành đồ gá,지그를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0358,manufacturing_machine,high,지그 정지,dừng đồ gá,지그를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0359,manufacturing_machine,high,지그 전원 차단,ngắt nguồn điện đồ gá,지그를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0360,manufacturing_machine,high,지그 청소,vệ sinh đồ gá,지그를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0361,manufacturing_machine,high,지그 점검,kiểm tra đồ gá,지그를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0362,manufacturing_machine,high,지그 교체,thay thế đồ gá,지그를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0363,manufacturing_machine,high,지그 고정,cố định đồ gá,지그를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0364,manufacturing_machine,high,지그 분리,tháo rời đồ gá,지그를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0365,manufacturing_machine,high,금형 작동,vận hành khuôn,금형를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0366,manufacturing_machine,high,금형 정지,dừng khuôn,금형를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0367,manufacturing_machine,high,금형 전원 차단,ngắt nguồn điện khuôn,금형를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0368,manufacturing_machine,high,금형 청소,vệ sinh khuôn,금형를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0369,manufacturing_machine,high,금형 점검,kiểm tra khuôn,금형를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0370,manufacturing_machine,high,금형 교체,thay thế khuôn,금형를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0371,manufacturing_machine,high,금형 고정,cố định khuôn,금형를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0372,manufacturing_machine,high,금형 분리,tháo rời khuôn,금형를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0373,manufacturing_machine,high,로봇암 작동,vận hành cánh tay robot,로봇암를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0374,manufacturing_machine,high,로봇암 정지,dừng cánh tay robot,로봇암를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0375,manufacturing_machine,high,로봇암 전원 차단,ngắt nguồn điện cánh tay robot,로봇암를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0376,manufacturing_machine,high,로봇암 청소,vệ sinh cánh tay robot,로봇암를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0377,manufacturing_machine,high,로봇암 점검,kiểm tra cánh tay robot,로봇암를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0378,manufacturing_machine,high,로봇암 교체,thay thế cánh tay robot,로봇암를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0379,manufacturing_machine,high,로봇암 고정,cố định cánh tay robot,로봇암를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0380,manufacturing_machine,high,로봇암 분리,tháo rời cánh tay robot,로봇암를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0381,manufacturing_machine,high,CNC 작동,vận hành máy CNC,CNC를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0382,manufacturing_machine,high,CNC 정지,dừng máy CNC,CNC를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0383,manufacturing_machine,high,CNC 전원 차단,ngắt nguồn điện máy CNC,CNC를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0384,manufacturing_machine,high,CNC 청소,vệ sinh máy CNC,CNC를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0385,manufacturing_machine,high,CNC 점검,kiểm tra máy CNC,CNC를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0386,manufacturing_machine,high,CNC 교체,thay thế máy CNC,CNC를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0387,manufacturing_machine,high,CNC 고정,cố định máy CNC,CNC를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0388,manufacturing_machine,high,CNC 분리,tháo rời máy CNC,CNC를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0389,manufacturing_machine,high,호이스트 작동,vận hành pa lăng,호이스트를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0390,manufacturing_machine,high,호이스트 정지,dừng pa lăng,호이스트를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0391,manufacturing_machine,high,호이스트 전원 차단,ngắt nguồn điện pa lăng,호이스트를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0392,manufacturing_machine,high,호이스트 청소,vệ sinh pa lăng,호이스트를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0393,manufacturing_machine,high,호이스트 점검,kiểm tra pa lăng,호이스트를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0394,manufacturing_machine,high,호이스트 교체,thay thế pa lăng,호이스트를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0395,manufacturing_machine,high,호이스트 고정,cố định pa lăng,호이스트를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0396,manufacturing_machine,high,호이스트 분리,tháo rời pa lăng,호이스트를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0397,manufacturing_machine,high,전동공구 작동,vận hành dụng cụ điện,전동공구를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0398,manufacturing_machine,high,전동공구 정지,dừng dụng cụ điện,전동공구를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0399,manufacturing_machine,high,전동공구 전원 차단,ngắt nguồn điện dụng cụ điện,전동공구를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0400,manufacturing_machine,high,전동공구 청소,vệ sinh dụng cụ điện,전동공구를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0401,manufacturing_machine,high,전동공구 점검,kiểm tra dụng cụ điện,전동공구를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0402,manufacturing_machine,high,전동공구 교체,thay thế dụng cụ điện,전동공구를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0403,manufacturing_machine,high,전동공구 고정,cố định dụng cụ điện,전동공구를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0404,manufacturing_machine,high,전동공구 분리,tháo rời dụng cụ điện,전동공구를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0405,manufacturing_machine,high,작업대 작동,vận hành bàn làm việc,작업대를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0406,manufacturing_machine,high,작업대 정지,dừng bàn làm việc,작업대를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0407,manufacturing_machine,high,작업대 전원 차단,ngắt nguồn điện bàn làm việc,작업대를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0408,manufacturing_machine,high,작업대 청소,vệ sinh bàn làm việc,작업대를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0409,manufacturing_machine,high,작업대 점검,kiểm tra bàn làm việc,작업대를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0410,manufacturing_machine,high,작업대 교체,thay thế bàn làm việc,작업대를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0411,manufacturing_machine,high,작업대 고정,cố định bàn làm việc,작업대를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0412,manufacturing_machine,high,작업대 분리,tháo rời bàn làm việc,작업대를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0413,manufacturing_machine,high,공구함 작동,vận hành hộp dụng cụ,공구함를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0414,manufacturing_machine,high,공구함 정지,dừng hộp dụng cụ,공구함를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0415,manufacturing_machine,high,공구함 전원 차단,ngắt nguồn điện hộp dụng cụ,공구함를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0416,manufacturing_machine,high,공구함 청소,vệ sinh hộp dụng cụ,공구함를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0417,manufacturing_machine,high,공구함 점검,kiểm tra hộp dụng cụ,공구함를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0418,manufacturing_machine,high,공구함 교체,thay thế hộp dụng cụ,공구함를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0419,manufacturing_machine,high,공구함 고정,cố định hộp dụng cụ,공구함를/을 고정하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0420,manufacturing_machine,high,공구함 분리,tháo rời hộp dụng cụ,공구함를/을 분리하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0421,manufacturing_machine,high,톱날 작동,vận hành lưỡi cưa,톱날를/을 작동하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0422,manufacturing_machine,high,톱날 정지,dừng lưỡi cưa,톱날를/을 정지하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0423,manufacturing_machine,high,톱날 전원 차단,ngắt nguồn điện lưỡi cưa,톱날를/을 전원 차단하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0424,manufacturing_machine,high,톱날 청소,vệ sinh lưỡi cưa,톱날를/을 청소하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
VIT0425,manufacturing_machine,high,톱날 점검,kiểm tra lưỡi cưa,톱날를/을 점검하는 작업 또는 지시,normal,machine_action_phrase,seed_needs_native_field_review
VIT0426,manufacturing_machine,high,톱날 교체,thay thế lưỡi cưa,톱날를/을 교체하는 작업 또는 지시,high,machine_action_phrase,seed_needs_native_field_review
